OBJECTID,CMPTRL_CNTY_NBR,DPS_CNTY_NBR,FIPS_ST_CNTY_CD,TXDOT_CNTY_NBR,TXDOT_DIST_NBR,CNTY_NM,GID,SHAPE_Length,SHAPE_Area
1,232,232,48463,232,15,Uvalde,35,2.47551487363809,0.376522363953346
2,143,143,48285,143,13,Lavaca,36,1.92735245353938,0.233740599411659
3,20,20,48039,20,12,Brazoria,37,3.04252870487292,0.357073755488421
4,241,241,48481,241,13,Wharton,38,2.46735386892899,0.263143183795061
5,163,163,48325,163,15,Medina,39,2.4971386901791,0.322365551063274
6,84,84,48167,85,12,Galveston,40,2.82110920837901,0.160591463681513
7,15,15,48029,15,15,Bexar,41,2.72977607000852,0.302845853325334
8,89,89,48177,90,13,Gonzales,42,2.12197523462144,0.257831448362147
9,79,79,48157,80,12,Fort Bend,43,2.5179785990958,0.21347989156901
10,94,94,48187,95,15,Guadalupe,44,2.38614147905057,0.172565205786403
11,10,10,48019,10,15,Bandera,45,2.120843457286,0.19267755019695
12,45,45,48089,45,13,Colorado,46,2.35994420370984,0.234962373018535
13,36,36,48071,36,20,Chambers,47,2.5648565284013,0.209734192903272
14,46,46,48091,46,15,Comal,48,1.94903710604276,0.139000633361781
15,193,193,48385,193,7,Real,49,1.86744146772469,0.169204965301275
16,28,28,48055,28,14,Caldwell,50,1.87012738126668,0.132156111441441
17,130,130,48259,131,15,Kendall,51,1.60609977317282,0.160465502498489
18,8,8,48015,8,13,Austin,52,2.48090749452189,0.158727491959217
19,75,75,48149,76,13,Fayette,53,2.03901971650526,0.232060588316164
20,101,101,48201,102,12,Harris,54,4.05630766515452,0.429773044482207
21,69,69,48137,70,7,Edwards,55,3.36953118143424,0.513427919203096
22,133,133,48265,133,15,Kerr,56,2.58999944573751,0.268287431739438
23,233,233,48465,233,22,Val Verde,57,4.41526974723879,0.781972846675316
24,237,237,48473,237,12,Waller,58,2.43519969889597,0.125424258668195
25,123,123,48245,124,20,Jefferson,59,2.78624247419868,0.240442440058118
26,105,105,48209,106,14,Hays,60,1.80322686957759,0.164423026287979
27,181,181,48361,181,20,Orange,61,1.70483728528241,0.0903063820321026
28,11,11,48021,11,14,Bastrop,62,1.8312232233399,0.217035109576815
29,239,239,48477,239,17,Washington,63,2.54387568945447,0.150743348663106
30,86,86,48171,87,14,Gillespie,64,2.15075400748423,0.257831392046174
31,16,16,48031,16,14,Blanco,65,1.68359692972247,0.173305970842651
32,144,144,48287,144,14,Lee,66,2.21377685849487,0.15399943423653
33,146,146,48291,146,20,Liberty,67,2.4018329346941,0.284788646094033
